Entity,Relation,Value
raymond_chandler,agentcontributedtocreativework,collected_stories
jeff_bridges,actorstarredinmovie,king_kong
alfred_hitchcock,directordirectedmovie,psycho
luke_skywalker,hassibling,princess_leia
prime_minister_tammam_salam,commentatorofbombing,three_killed_in_lebanese_suicide_bombing
oj_simpson,personchargedwithcrime,murder
crab,animalsuchasinvertebrate,seafood
warheads,weaponmadeincountry,iran
thomas_friedman,journalistwritesforpublication,the_new_york_times
beer,agriculturalproductcamefromcountry,uk
google,companyeconomicsector,internet
paul,musicianinmusicartist,the_beatles
accord,productinstanceof,cars
accord,productinstanceof,models
stanley_kubrick,agentcontributedtocreativework,the_shining
serbia_and_montenegro,synonymfor,republic
belarus,synonymfor,republic
president_kennedy,politicianholdsoffice,office
mauresmo,athletebeatathlete,williams
wncf_tv,televisionstationaffiliatedwith,abc
mother,motherofperson,jesus
mother,motherofperson,jesus
illnesses,ismultipleof,young_people
chad_johnson,athleteplaysforteam,bengals
bart_starr,athleteplaysinleague,nfl
bob_uecker,athletecanbethesameasactor,bob_uecker
president,personchargedwithcrime,crimes
tiger_woods,athletewinsawardtrophytournament,us_open
president,personchargedwithcrime,war_crimes
fitzgerald,writerwasbornincity,boston
theodor_kollek,personhasresidenceincountry,isreal
president,personhasage,48
president,personhasage,48
roman,hassibling,caligula
lindsay_davenport,athletebeatathlete,serena_williams
lleyton_hewitt,athletewinsawardtrophytournament,us_open
ian_woosnam,athleteplayssport,golf
roman,hasbrother,nero
elvis_presley,persondiedatage,42
stan_musial,athleteplaysinleague,nfl
brock_lesnar,athleteplayssport,wrestling
big_show,athleteplayssport,wrestling
bret_hart,athleteplayssport,wrestling
chelsea,athletewinsawardtrophytournament,carling_cup
chelsea,athletewinsawardtrophytournament,fa_cup
chelsea,athletewinsawardtrophytournament,league_cup
chelsea,personhasage,28
ron_santo,athletehomestadium,wrigley_field
mike_tomlin,coachesinleague,nfl
romo,athleteledsportsteam,dallas_cowboys
tony_romo,athleteledsportsteam,dallas_cowboys
kirilenko,athleteplaysforteam,utah_jazz
sue,hasspouse,brian
novak_djokovic,athletewinsawardtrophytournament,us_open
andre_carson,personhasreligion,islam
john_mccain,politicianusholdsoffice,united_states_senator
george_w,politicianusendorsedbypoliticianus,bush
bush,politicianholdsoffice,senator
bush,politicianrepresentslocation,duck
bush,politicianusholdsoffice,secretary
sarah_palin,politicianusendorsedbypoliticianus,bush
hillary,politicianholdsoffice,first_woman_president
hillary,politicianholdsoffice,president
mary,motherofperson,child_jesus
blessed_virgin_mary,parentofperson,jesus
mary,motherofperson,infant
rebecca,hasspouse,isaac
hillary,politicianholdsoffice,us_president
hillary,politicianholdsoffice,member
robert,persondiedatage,2
mary,motherofperson,virgin_mary
jerome_bettis,athleteplayssportsteamposition,player
george_w_,politicianusholdsoffice,governor
john_kerry,personhasresidenceinstateorprovince,massachusettes
ansel_adams,visualartistartform,prints
lebanese_red_cross,commentatorofbombing,car_bomb_hits_shiite_suburb_of_beirut__killing_2
raphael,visualartistartform,pictures
brancusi,visualartistartform,sculptures
rembrandt,personbirthdate,n1606
claude_monet,visualartistartform,collection
beaverbrook,personhasjobposition,lord
cultural_icons,celebritysuchascelebrity,deepak_chopra
the_donald,personalsoknownas,donald_trump
greta_van_susteren,journalistwritesforpublication,fox
hollywood_stars,celebritysuchascelebrity,glen_campbell
abdul_jalil_jan,personhasreligion,islam
abdul_jalil_jan,personhasreligion,islam
mahmoud_ahmadinejad,personleadscity,tehran
mahmoud_ahmadinejad,personleadscity,tehran
mahmoud_ahmadinejad,personleadscity,tehran
obama,personchargedwithcrime,crimes
obama,persongraduatedfromuniversity,harvard
obama,persongraduatedfromuniversity,harvard
obama,persongraduatedfromuniversity,harvard
elon_musk,ceoof,tesla
elon_musk,ceoof,tesla
elon_musk,ceoof,tesla
he,marriedinyear,n1995
he,personbelongstoorganization,southern_african_development_community
franklin_raines,ceoof,fannie_mae
fdr,persondeathdate,n1945
david_gandy,haswikipediaurl,//en.wikipedia.org/wiki/David%20Gandy
satoru_iwata,ceoof,nintendo
mark_zuckerberg,ceoof,facebook
mark_zuckerberg,ceoof,facebook
chad_hurley,ceoof,youtube
n13_people,agentparticipatedinevent,result
sega,companyproducesvideogamesystem,dreamcast
obama,personbirthdate,n1961
ali_oleik,bombinghaswitness,beirut_bombing__thurs__blast_in_hezbollah_run_area_of_beirut_claimed_5_lives
sega,companyproducesvideogamesystem,playstation
bridges_academy,haswikipediaurl,//en.wikipedia.org/wiki/Bridges%20Academy
obama,persongraduatedfromuniversity,law_school
randall_forsberg,personbirthdate,n1943
young_people,agentparticipatedinevent,result
pfizer,acquired,wyeth
ryanair,hasofficeincity,birmingham
konica_minolta,companyalsoknownas,konica_minolta_holding_inc
mitsubishi,automobilemakercardealersinstateorprovince,virginia
mitsubishi,automobilemakercardealersinstateorprovince,virginia
mitsubishi,automakerproducesmodel,lancer
dodge,automobilemakercardealersinstateorprovince,massachusetts
dodge,producesproduct,dodge_ram
volvo,automobilemakercardealersinstateorprovince,virginia
kia,automakerproducesmodel,optima
honda,automobilemakerdealersincity,orlando
honda,producesproduct,insight
honda,automakerproducesmodel,passport
guo_jingjing,personhasresidenceingeopoliticallocation,china
obama,politicianholdsoffice,state_senator
honda,automobilemakerdealersincity,tucson
claire_mccaskill,politicianrepresentslocation,missouri
hyundai,producesproduct,hyundai_accent
citi,companyeconomicsector,investment
princess,personhascitizenship,the_united_kingdom
ba,hasofficeincity,beijing
miroslav_klose,athleteplaysforteam,germany
goldman,companyeconomicsector,investment
goldman,bankchiefexecutiveceo,lloyd_blankfein
ea_mobile,organizationterminatedperson,john_riccitiello
subaru,producesproduct,subaru_impreza
nissan,automobilemakerdealersincity,indianapolis
nissan,producesproduct,n240sx
toyota,producesproduct,toyota_avalon
volkswagen,automakerproducesmodel,jetta
volkswagen,automakerproducesmodel,jetta
nissan,producesproduct,n300zx
klm_royal_dutch_airlines,hasofficeincity,amsterdam
volkswagen,producesproduct,beetle
volkswagen,automobilemakercardealersinstateorprovince,texas
nissan,automakerproducesmodel,pathfinder
nissan,producesproduct,honda_accord
nissan,automobilemakerdealersincity,mission
jeep,automakerproducesmodel,nissan_xterra
audrey_niffenegger,agentcontributedtocreativework,the_time_traveler_s_wife
mlb,leaguestadiums,citi_field
mlb,leaguestadiums,olympic_stadium
bob_marley,musicartistgenre,reggae
beatles,musicartistgenre,classic_pop
beatles,musicartistgenre,pop
beatles,musicartistgenre,rock
beatles,musicartistgenre,classic_rock
daft_punk,musicartistgenre,electronica
nascar,leaguestadiums,indianapolis_raceway_park
michael_jackson,musicartistgenre,pop
the_boston_public_school_system,organizationterminatedperson,i
nba,leaguestadiums,rose_garden
jesus,personhasjobposition,lord
jesus,hasfamilymember,mary
jesus,hasfamilymember,mary
jay_z,haswife,beyonce
jay_z,haswife,beyonce
eminem,musicartistgenre,hip_hop
vangogh,visualartistartform,paintings
bob_dylan,musicartistgenre,american_folk
warsaw_university,teamplaysinleague,international
colorado_state_university,teamplaysinleague,international
shellfish,animalistypeofanimal,creatures
loops,subpartof,water
jacques_chirac,politicianholdsoffice,president
father_abraham,fatherofperson,isaac
mick_jones,musicianplaysinstrument,guitar
wfor,televisionstationincity,miami
karl_dean,personleadscity,nashville
chase,companyeconomicsector,investment
loyola_university_new_orleans,teamplaysinleague,international
cctv,hasofficeincity,beijing
chaim_potok,agentcontributedtocreativework,my_name_is_asher_lev
washington_state_university,teamplaysinleague,international
summer,istallerthan,friends
jason,personmovedtostateorprovince,california
roti_canai,haswikipediaurl,//en.wikipedia.org/wiki/Roti%20canai
chevrolet,automobilemakerdealersincountry,canada
republican,personhasresidenceingeopoliticallocation,florida
eve,motherofperson,creation
telephone,itemfoundinroom,bathroom
ford,producesproduct,mustang
liu_chuanzhi,ceoof,lenovo
lenovo,companyeconomicsector,computer
liu_chuanzhi,topmemberoforganization,lenovo
lenovo,organizationhiredperson,liu_chuanzhi
venus_williams,athletebeatathlete,vera_zvonareva
james_blunt,musicianplaysinstrument,guitar
barclays,bankbankincountry,republic_of_india
clinton,politicianusendorsedbypoliticianus,harry_reid
toyota,producesproduct,camry
john_chambers,ceoof,cisco
ford,producesproduct,f350
joe_gibbs,coachesinleague,nfl
edinson_volquez,athleteflyouttosportsteamposition,center
edinson_volquez,athleteflyouttosportsteamposition,center
edinson_volquez,athleteflyouttosportsteamposition,center
mitch_mcconnell,personbelongstoorganization,senate
jeep,automakerproducesmodel,jeep_wrangler
honda,automakerproducesmodel,civic_si
geo,producesproduct,metro
republican,personhasresidenceingeopoliticallocation,kentucky_wildcats
frank_reynolds,worksfor,abc
james_brown,persondiedatage,73
holy_spirit,parentofperson,jesus
microsoft,companyalsoknownas,msft_
icici,bankbankincountry,republic_of_india
honda,producesproduct,accord
honda,automakerproducesmodel,accord
licking,generalizations,visualizablething
wooden_leather_bar_stools,generalizations,householditem
traditional_daybeds,generalizations,householditem
king_zize_platform_beds,generalizations,householditem
queen_zize_beds,generalizations,householditem
ottomans_and_footstools,generalizations,householditem
mirror,generalizations,website
shoe_racks,generalizations,householditem
watches,generalizations,householditem
wholesale_hon_office_furniture,generalizations,householditem
caluco_patio_furniture,generalizations,householditem
metal_office_desk,generalizations,householditem
table_bases,generalizations,householditem
stainless_steel_bowls,generalizations,householditem
cottage_sofas,generalizations,householditem
blue_sofas,generalizations,householditem
leather_chair_and_ottoman,generalizations,householditem
fireplace_accessories,generalizations,householditem
cool_couches,generalizations,householditem
refridgerator,generalizations,householditem
refridgerator,generalizations,householditem
one_double_bed,generalizations,householditem
mirrors_and_wall_mirrors,generalizations,householditem
display_sign_stands,generalizations,householditem
yang,generalizations,male
rebecca,generalizations,male
nokia_5500sport,generalizations,product
amphibious_airplanes,generalizations,vehicle
i_died_for_you,generalizations,musicalbum
spice_rack,generalizations,visualizablething
bigelow_green_tea,generalizations,beverage
conferences,generalizations,conference
last_charge,generalizations,crimeorcharge
steak_knive,generalizations,kitchenitem
poolside_dining,generalizations,hobby
poolside_dining,generalizations,hobby
sarah_silverman,generalizations,female
lenka_gaborova,generalizations,female
chrysler_200,generalizations,automobilemodel
panet_mercury,generalizations,planet
starcraft_2,generalizations,videogame
instant_search_box,generalizations,researchproject
rainbow,generalizations,weatherphenomenon
khmer,generalizations,language
wasps,generalizations,insect
driving_wrong_way,generalizations,everypromotedthing
american_music_festival,generalizations,musicfestival
american_music_festival,generalizations,musicfestival
thursday,generalizations,dayofweek
thursday,generalizations,dayofweek
thursday,generalizations,dayofweek
generalized_regression,generalizations,mlalgorithm
michael_garcia,generalizations,male
land_rover_discovery_van,generalizations,automobilemodel
spanish_onions,generalizations,visualizableobject
birdsfoot_farm,generalizations,farm
jainism,generalizations,religion
world_of_warcraft__wrath_of_the_lich_king,generalizations,videogame
temple_bar,generalizations,attraction
mtr_subway,generalizations,transportation
mtr_subway,generalizations,transportation
turkish_lira,generalizations,currency
bus_train,generalizations,everypromotedthing
tom_hanks,generalizations,personus
tom_hanks,generalizations,male
aegean_beach,generalizations,beach
acyl_coenzyme_a_binding_domain_containing_4,generalizations,protein
stainless_steel_teapot,generalizations,kitchenitem
bikini_panties,generalizations,clothing
banana_caramel_custard,generalizations,food
multivariate_regression,generalizations,mlalgorithm
half_life_2,generalizations,videogame
warioware_inc_mega_party_games,generalizations,software
blacktip_poacher,generalizations,fish
mount_gardner,generalizations,mountain
campbell_farm,generalizations,farm
church_of_jesus_christ_oflds,generalizations,religion
pedaphilia,generalizations,hobby
pedaphilia,generalizations,hobby
texasholdem_on_line_poker,generalizations,cardgame
symposium_on_applied_computing,generalizations,conference
track_circuit_failure,generalizations,everypromotedthing
mid_chrome_green,generalizations,color
polar_winds,generalizations,weatherphenomenon
chrysler_jeep_compass,generalizations,automobilemodel
shelving,generalizations,householditem
bmw_330xd,generalizations,vehicle
national_museum_african_art,generalizations,museum
autoregressive_hidden_markov_model,generalizations,mlalgorithm
saddle_tail_snapper,generalizations,fish
fairmont_hotel_chicago,generalizations,hotel
nasal_cavity,generalizations,bodypart
closet_door,generalizations,visualizableobject
j_c_penney_company,generalizations,retailstore
ashiya_air_base,generalizations,airport
lollapalooza,generalizations,musicfestival
calcium_rich_foods,generalizations,visualizablething
sienna,generalizations,color
icfpconference,generalizations,conference
prince_of_persia___rival_swords,generalizations,software
talks,generalizations,hobby
tipton_city,generalizations,county
different_winds,generalizations,weatherphenomenon
walter_leverman_stadium,generalizations,attraction
islamic_action_front,generalizations,terroristorganization
dublin_airport,generalizations,transportation
yeoman_and_tenant_farm,generalizations,farm
books,generalizations,mediatype
college_of_charleston,generalizations,school
lower_digestive_tract,generalizations,bodypart
m__w__du,generalizations,mlauthor
japnese,generalizations,language
black,generalizations,color
black,generalizations,color
tim_mcinnerny,generalizations,male
a_knife,generalizations,kitchenitem
dodge_ram,generalizations,automobilemodel
dodge_caliber,generalizations,automobilemodel
focus,generalizations,automobilemodel
n06__48_pm,generalizations,mldataset
safety_equipment,generalizations,sportsequipment
digital,generalizations,company
colin_stinton,generalizations,ceo
colin_stinton,generalizations,ceo
colin_stinton,generalizations,ceo
ferrari_456_m,generalizations,automobilemodel
child_clothing,generalizations,clothing
tanfield_railway,generalizations,transportation
hi_lo,generalizations,cardgame
sub_acute_angle_closure_glaucoma,generalizations,physiologicalcondition
wa_whidbey_island,generalizations,stateorprovince
dominican_spanish,generalizations,language
office_product,generalizations,room
anime_expo,generalizations,convention
steve_wilson,generalizations,musician
leather_jacket,generalizations,visualizableobject
baccarat,generalizations,cardgame
baccarat,generalizations,cardgame
fruit_,generalizations,visualizablething
donegal,generalizations,location
latvia,generalizations,country
vw_golf_vi,generalizations,automobilemodel
screenplays,generalizations,mediatype
master_of_illusion_express__psychic_camera,generalizations,software
princess,generalizations,person
baha_i_faith,generalizations,religion
baha_i_faith,generalizations,religion
baha_i_faith,generalizations,religion
cuban_solenodon,generalizations,vertebrate
gulsen_kaymak,generalizations,person
leo_maguire,generalizations,person
ace_combat_6,generalizations,videogame
acetylsalicylic_acid,generalizations,chemical
hearts,generalizations,cardgame
cinsaut_blanc,generalizations,wine
potassium_zinc_chromate,generalizations,chemical
quebec,generalizations,stateorprovince
cancer_symptoms,generalizations,physiologicalcondition
driver,generalizations,person
tea___,generalizations,beverage
tea___,generalizations,agriculturalproduct
art_museum_cagliari,generalizations,museum
israeli_aircraft,generalizations,terroristorganization
generic_viagra_online,generalizations,product
badmington_rackets,generalizations,sportsequipment
david_braham,generalizations,musician
egg_plant,generalizations,food
baby_bok_choi,generalizations,vegetable
provalone_cheese,generalizations,cheese
cirrostratus_clouds,generalizations,weatherphenomenon
grill,generalizations,visualizablething
paper_hats,generalizations,clothing
squash_casserole,generalizations,food
barack_obama,generalizations,male
barack_obama,generalizations,male
barack_obama,generalizations,male
barack_obama,generalizations,male
barack_obama,generalizations,male
barack_obama,generalizations,male
barack_obama,generalizations,male
darjeeling_green_tea,generalizations,agriculturalproduct
lakeville_christian_fellowship,generalizations,religion
thomas_knyvett,generalizations,personnorthamerica
planet_uranus,generalizations,planet
night_crawler,generalizations,invertebrate
pocket_square,generalizations,clothing
pocket_square,generalizations,clothing
museum_of_science_and_industry_in_chicago,generalizations,museum
chi_square_test,generalizations,mlalgorithm
chi_square_test,generalizations,mlalgorithm
chi_square_test,generalizations,mlalgorithm
bell_pepper,generalizations,agriculturalproduct
bell_pepper,generalizations,agriculturalproduct
sport_utility_vehicle,generalizations,vehicle
erie_art_museum_said,generalizations,museum
baked_boneless_chicken_breast,generalizations,food
cheddar_cheese,generalizations,cheese
christianity,generalizations,religion
christianity,generalizations,religion
christianity,generalizations,religion
christianity,generalizations,religion
hebrew,generalizations,language
indonesian_invasion_of_east_timor,generalizations,protestevent
peter_j__stuckey,generalizations,mlauthor
prepared_cake_tin,generalizations,kitchenitem
early_morning_storm,generalizations,weatherphenomenon
entire_chest,generalizations,bodypart
rio_das_ostras_jazz_festival,generalizations,musicfestival
cd_roms,generalizations,mediatype
n1928_1997,generalizations,year
boatracing,generalizations,sport
mysid_shrimp,generalizations,crustacean
acetyl_coa_carboxylase,generalizations,protein
escolas,generalizations,currency
general_election,generalizations,election
undergraduate_students,generalizations,victim
mitsubishi_t300,generalizations,product
maqrunah,generalizations,musicinstrument
free_speech_rights,generalizations,politicsissue
sky,generalizations,color
one_cup_sugar,generalizations,visualizablething
one_cup_sugar,generalizations,visualizablething
cricket_at_the_olympics,generalizations,olympics
baja_california,generalizations,stateorprovince
n2007_oscars,generalizations,filmfestival
green_monkeys,generalizations,mammal
pigs,generalizations,mammal
pigs,generalizations,mammal
pigs,generalizations,mammal
icug,generalizations,conference
medium_grain_rice,generalizations,grain
graduates_students,generalizations,victim
marketing_problems,generalizations,mlarea
agricultural_sector,generalizations,economicsector
support_officers,generalizations,profession
leather_sofa_loveseat,generalizations,furniture
mitsubishi_m342i,generalizations,product
s_ttarhellir,generalizations,cave
anatoli_demyanenko,generalizations,astronaut
europe,generalizations,continent
europe,generalizations,continent
europe,generalizations,continent
oil_bottle,generalizations,visualizableobject
glass_sinks,generalizations,bathroomitem
intercalated_nuclei,generalizations,braintissue
efficient_data,generalizations,scientificterm
java,generalizations,programminglanguage
java,generalizations,programminglanguage
java,generalizations,programminglanguage
java,generalizations,programminglanguage
java,generalizations,programminglanguage
java,generalizations,programminglanguage
slurry_oil,generalizations,refineryproduct
lake_shore,generalizations,lake
general_research_interests,generalizations,researchproject
environmentalprotection_agency,generalizations,governmentorganization
oak_grove_church,generalizations,placeofworship
saint_joseph_college,generalizations,building
linear_algebra_problems,generalizations,mlarea
breton,generalizations,language
breton,generalizations,language
interstate_280_in_ohio,generalizations,highway
jaguarundi,generalizations,animal
n2002_mitsubishi_eclipse,generalizations,automobilemodel
hard_house,generalizations,musicgenre
hospital_of_the_university_of_pennsylvania___uphs,generalizations,hospital
z09,generalizations,mldataset
darpa,generalizations,governmentorganization
n2001_subaru_forester,generalizations,automobilemodel
stuffed_chicken_breasts_with_tomato_salad,generalizations,meat
workers_power,generalizations,sociopolitical
executive_computer,generalizations,tableitem
lord_of_the_rings__the_fellowship_of_the_rings,generalizations,movie
republic_of_cuba,generalizations,country
republic_of_cuba,generalizations,country
daylesford_cheddar,generalizations,cheese
san_juan,generalizations,city
fitzgerald,generalizations,person
algeria,generalizations,country
algeria,generalizations,country
microwave_combination_oven,generalizations,kitchenitem
small_insects,generalizations,insect
country_dress,generalizations,clothing
newspapers_articles,generalizations,mediatype
software_engineer,generalizations,jobposition
haskell,generalizations,programminglanguage
haskell,generalizations,programminglanguage
web_programming_language,generalizations,programminglanguage
general_purpose_programming_language,generalizations,programminglanguage
resident_assistant,generalizations,jobposition
forbes_magazine,generalizations,website
forbes_magazine,generalizations,newspaper
metal_window_frames,generalizations,buildingfeature
lice,generalizations,arthropod
charlotte_douglas_international,generalizations,airport
charlotte_douglas_international,generalizations,port
westchester_county,generalizations,airport
errol_flynn,generalizations,male
george_washington_university,generalizations,university
george_washington_university,generalizations,university
university_of_miami,generalizations,university
n1871_1990,generalizations,year
n1871_1990,generalizations,year
san_ramon,generalizations,city
verizonwireless_com,generalizations,website
dog,generalizations,mammal
dog,generalizations,mammal
interstate_710_in_arizona,generalizations,highway
aarau,generalizations,city
thomas_tank_engine,generalizations,automobileengine
catholicism,generalizations,religion
church_of_scientology,generalizations,religion
church_of_scientology,generalizations,religion
limes,generalizations,fruit
limes,generalizations,agriculturalproduct
lemons,generalizations,fruit
lemons,generalizations,agriculturalproduct
breakfast,generalizations,bakedgood
jack_black,generalizations,celebrity
jack_black,generalizations,actor
dairy_foods,generalizations,beverage
pepsi,generalizations,beverage
avocado,generalizations,beverage
blood,generalizations,agriculturalproduct
blood,generalizations,beverage
oil,generalizations,beverage
darjeeling_tea,generalizations,beverage
mix,generalizations,beverage
peaches,generalizations,beverage
strawberry,generalizations,beverage
israeli,generalizations,country
isreal,generalizations,country
republic,generalizations,country
republic,generalizations,country
republic,generalizations,country
nation,generalizations,country
nation,generalizations,country
potatoeas,generalizations,vegetable
barrack_obama,generalizations,politicianus
barrack_obama,generalizations,politicianus
weaopns,generalizations,weapon
finger_joint,generalizations,bone
diseased_joint,generalizations,bone
immovable_joint,generalizations,bone
vesicovaginalis,generalizations,muscle
crysis_3,generalizations,videogame
minecraft,generalizations,videogame
resident_evil_2,generalizations,videogame
dance_dance_revolution,generalizations,videogame
plymouth_cambridge,generalizations,automobilemodel
all_star_baseball_2003,generalizations,videogame
tropicalplants,generalizations,plant
the_legend_of_zelda__twilight_princess,generalizations,videogame
the_legend_of_zelda___the_wind_waker,generalizations,videogame
nintendo_gameboy,generalizations,product
sweater,generalizations,clothing
sweater,generalizations,visualizableobject
information_join,generalizations,scientificterm
c__s__lewis,generalizations,writer
gas_natural_gas,generalizations,weapon
shoes_loafers,generalizations,clothing
ny_times_building,generalizations,skyscraper
across_the_river_and_into_the_trees,generalizations,book
tankless_gas,generalizations,weapon
saint_croix_national_scenic_river,generalizations,trail
cold_seasons,generalizations,nondiseasecondition
nokia_1606,generalizations,product
wormtown_music_festival,generalizations,musicfestival
action_games,generalizations,videogame
action_games,generalizations,videogame
persian,generalizations,language
islam,generalizations,religion
islam,generalizations,religion
islam,generalizations,religion
islam,generalizations,religion
anti_austerity_movement,generalizations,protestevent
newyork_times,generalizations,website
newyork_times,generalizations,newspaper
n10_00_am,generalizations,time
apricot,generalizations,beverage
sarah_jenkins,generalizations,criminal
zantac_300,generalizations,drug
syncom_pharmaceuticals,generalizations,biotechcompany
a_hairy_squat_lobster,generalizations,crustacean
bart_line,generalizations,transportation
normal_somatic_cells,generalizations,celltype
historic_brooklyn_bridge,generalizations,bridge
noise_pop___experimental_1990s_outgrowth_of_punk,generalizations,musicgenre
nys_department_of_environmental_conservation,generalizations,governmentorganization
indoor_and_outdoor_climbing,generalizations,hobby
ghc,generalizations,software
magnitude_5_4_earthquake_hits_north_taiwan,generalizations,earthquakeevent
magnitude_5_4_earthquake_hits_north_taiwan,generalizations,earthquakeevent
the_great_gatsby,generalizations,book
dota_2,generalizations,videogame
dota_2,generalizations,videogame
excision_of_cervical_intervertebral_disc,generalizations,medicalprocedure
bathing_room,generalizations,room
nasty_storms,generalizations,weatherphenomenon
dragons,generalizations,animal
confucius,generalizations,person
confucius,generalizations,person
american_university_paris,generalizations,university
movie_apocalypse_now,generalizations,movie
popular_bestsellers,generalizations,book
domestic_animals__all_animals_are_included_there,generalizations,everypromotedthing
league_bowling,generalizations,sport
occupational_health_professionals,generalizations,profession
de_la_roseraie,generalizations,city
football,generalizations,sport
football,generalizations,sport
russian_turkish_war_of_liberation,generalizations,militaryconflict
n1918_1932,generalizations,year
rice_plants,generalizations,grain
cottage_style_kitchen,generalizations,room
your_new_house,generalizations,televisionshow
head_costume_designer,generalizations,jobposition
kbak,generalizations,radiostation
western_black_rhinoceros,generalizations,mammal
oversized_bathroom,generalizations,officebuildingroom
postal_pants,generalizations,clothing
n1930___1970,generalizations,year
n1930___1970,generalizations,year
kidney,generalizations,bodypart
buildings,generalizations,geolocatablething
n1861___1938,generalizations,date
scientists_engineers,generalizations,profession
arma_2,generalizations,videogame
varieties_of_chinese,generalizations,language
south_whidbey_tilth_farm,generalizations,farm
ioglycamate_meglumine,generalizations,drug
forest,generalizations,landscapefeatures
bagpipe,generalizations,musicinstrument
secretary_of_commerce,generalizations,politicaloffice
susan_miller,generalizations,female
nokia_3110e,generalizations,product
fundamentalist_islamists,generalizations,terroristorganization
fundamentalist_islamists,generalizations,terroristorganization
salmon_hash,generalizations,meat
n5_holes_tub_tap,generalizations,bathroomitem
doubletree,generalizations,hotel
doubletree,generalizations,hotel
metopic,generalizations,vein
plastic_ware,generalizations,kitchenitem
uk_coal,generalizations,weapon
deodorant,generalizations,personalcareitem
corner_shower,generalizations,bathroomitem
original_oil_painting,generalizations,visualartform
iphone,generalizations,product
iphone,generalizations,product
financial_accountant,generalizations,jobposition
m_m_peanut,generalizations,candy
m_m_peanut,generalizations,candy
economical_energy,generalizations,politicsissue
aaai,generalizations,conference
aaai,generalizations,conference
aaai,generalizations,conference
aaai,generalizations,conference
aaai,generalizations,conference
bay_lake,generalizations,visualizablescene
state_college___university_park_airport,generalizations,airport
jayde_nicole,generalizations,female
folk_country,generalizations,musicgenre
gunmetal_grey,generalizations,visualizableattribute
belinda_carlisle,generalizations,female
basketball_games,generalizations,sportsevent
tap,generalizations,bathroomitem
low_carb_scones,generalizations,bakedgood
pillsbury_grands_buttermilk_biscuits,generalizations,bakedgood
president_josiah_bartlet,generalizations,politician
mustard_gas,generalizations,weapon
alluminium,generalizations,buildingmaterial
n8_00_p_m_,generalizations,time
northern_mountain_range,generalizations,mountainrange
washington_oregon,generalizations,beach
n2004_buick_rendezvous,generalizations,automobilemodel
mitochondrial_ribosomal_protein_l42_isoform_b,generalizations,protein
game_bird,generalizations,bird
finnish,generalizations,ethnicgroup
sikhism,generalizations,religion
sikhism,generalizations,religion
sikh_religion,generalizations,religion
lysergic_acid_diethylamide,generalizations,drug
lysergic_acid_diethylamide,generalizations,chemical
abortion,generalizations,politicsissue
abortion,generalizations,politicsissue
immigration,generalizations,politicsissue
baby,generalizations,animal
fictional_language,generalizations,language
child,generalizations,animal
kinesiology_students,generalizations,victim
united_states_dollar,generalizations,currency
settlers_of_catan,generalizations,boardgame
eurostar_services,generalizations,transportation
investment_consulting,generalizations,economicsector
cikm,generalizations,mlconference
transparent_blue,generalizations,color
st_james_barbados,generalizations,island
kuala_lumpur_international,generalizations,airport
nausea,generalizations,emotion
all_quiet_on_the_western_front,generalizations,book
anthem,generalizations,book
ayn_rand,generalizations,writer
ayn_rand,generalizations,female
bank_of_america_wilmington_gran_prix,generalizations,sportsevent
golden_gate_university,generalizations,sportsteam
second_language_students,generalizations,victim
sodium_aluminum_oxide,generalizations,chemical
cotton_longcoat,generalizations,clothing
the_fashion_show,generalizations,shoppingmall
compelling_prostitution,generalizations,crimeorcharge
beer,generalizations,beverage
beer,generalizations,agriculturalproduct
lahr,generalizations,city
jacobs_university_bremen,generalizations,sportsteam
n2nd_1976_le_mans_24_hours,generalizations,sportsevent
icmla,generalizations,mlconference
actinomyces_violaceus_chromogenes,generalizations,bacteria
about_a_boy,generalizations,book
an_ideal_husband,generalizations,book
farenheit_451,generalizations,book
harry_potter_and_the_chamber_of_secrets,generalizations,book
harry_potter_and_the_chamber_of_secrets,generalizations,book
harry_potter_and_the_chamber_of_secrets,generalizations,book
harry_potter_and_the_goblet_of_fire,generalizations,book
harry_potter_and_the_philosopher_s_stone,generalizations,book
euro,generalizations,currency
call_of_duty,generalizations,videogame
call_of_duty,generalizations,videogame
doujinshi,generalizations,creativework
guang_ming_temple,generalizations,placeofworship
brush_rabbit,generalizations,animal
excision_of_lesion_of_abdominal_vein,generalizations,medicalprocedure
mcdonalds_restaurant,generalizations,restaurant
dodecahedron,generalizations,geometricshape
transmembrane_protein_10,generalizations,protein
dugong,generalizations,animal
toyota_land_cruizer_200_______,generalizations,vehicle
toy_story_2,generalizations,movie
nicole_ritchie,generalizations,celebrity
air_conditioned_suites,generalizations,officebuildingroom
united_states_air_force_office_of_scientific_research,generalizations,governmentorganization
valpolicella_classico_superiore,generalizations,wine
apple_macintosh,generalizations,product
jaws_2,generalizations,movie
jaws_2,generalizations,movie
saarland_university,generalizations,university
ovemotide,generalizations,drug
oral_fixation_mints,generalizations,candy
rhine_at_remagen,generalizations,river
white_miso,generalizations,condiment
final_fantasy_12,generalizations,videogame
jacksonville_university,generalizations,sportsteam
jacksonville_university,generalizations,sportsteam
embassy_suites_boston_logan_airport,generalizations,hotel
hashimoto_disease,generalizations,disease
kiwi_bird,generalizations,animal
kiwi_bird,generalizations,animal
narcan,generalizations,drug
naloxone,generalizations,drug
